General Health,High Blood Pressure,High Cholesterol,Difficulty Walking,Heart Disease,Age Group,Recommendation
Good,Yes,Yes,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,No,No,No,No,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,No,No,No,No,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,No,No,No,No,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,No,No,No,Yes,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,No,No,No,Yes,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,No,No,No,Yes,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,No,No,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,No,No,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,No,No,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,No,No,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,No,No,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,No,No,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,No,Yes,No,No,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Poor,No,Yes,No,No,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Poor,No,Yes,No,No,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Poor,No,Yes,No,Yes,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,No,Yes,No,Yes,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,No,Yes,No,Yes,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,No,Yes,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Poor,No,Yes,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Poor,No,Yes,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Poor,No,Yes,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,No,Yes,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,No,Yes,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,Yes,No,No,No,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Poor,Yes,No,No,No,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Poor,Yes,No,No,No,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Poor,Yes,No,No,Yes,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,Yes,No,No,Yes,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,Yes,No,No,Yes,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,Yes,No,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Poor,Yes,No,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Poor,Yes,No,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Poor,Yes,No,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,Yes,No,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,Yes,No,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,Yes,Yes,No,No,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Poor,Yes,Yes,No,No,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Poor,Yes,Yes,No,No,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Poor,Yes,Yes,No,Yes,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,Yes,Yes,No,Yes,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,Yes,Yes,No,Yes,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Poor,Yes,Yes,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Poor,Yes,Yes,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Poor,Yes,Yes,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Poor,Yes,Yes,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,Yes,Yes,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Poor,Yes,Yes,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,No,No,No,No,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,No,No,No,No,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,No,No,No,No,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,No,No,No,Yes,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,No,No,No,Yes,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,No,No,No,Yes,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,No,No,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,No,No,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,No,No,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,No,No,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,No,No,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,No,No,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,No,Yes,No,No,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Very Poor,No,Yes,No,No,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Very Poor,No,Yes,No,No,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Very Poor,No,Yes,No,Yes,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,No,Yes,No,Yes,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,No,Yes,No,Yes,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,No,Yes,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Very Poor,No,Yes,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Very Poor,No,Yes,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Very Poor,No,Yes,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,No,Yes,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,No,Yes,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,Yes,No,No,No,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Very Poor,Yes,No,No,No,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Very Poor,Yes,No,No,No,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Very Poor,Yes,No,No,Yes,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,Yes,No,No,Yes,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,Yes,No,No,Yes,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,Yes,No,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Very Poor,Yes,No,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Very Poor,Yes,No,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Very Poor,Yes,No,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,Yes,No,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,Yes,No,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,Yes,Yes,No,No,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Very Poor,Yes,Yes,No,No,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Very Poor,Yes,Yes,No,No,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Very Poor,Yes,Yes,No,Yes,18-40,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,Yes,Yes,No,Yes,41-65,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,Yes,Yes,No,Yes,66-90,"Walking, cycling, or low-impact cardio (10-20 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Poor,Yes,Yes,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Very Poor,Yes,Yes,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Very Poor,Yes,Yes,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Very Poor,Yes,Yes,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,Yes,Yes,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Poor,Yes,Yes,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
